TempCli,renda,tot_emprestimo_liquidado,tot_emprestimo_ativo,carteira,tot_parcela_ativa_em_dia,tot_parcela_ativa_atrasada,tot_parcela_pago_em_dia,atraso_min,atraso_mid,atraso_max,class
172,800.00,3,0,0.0000000,0,0,1,2,0,0,Bom
83,510.00,1,0,0.0000000,0,0,23,1,0,0,Bom
126,1790.00,34,1,8144.0500000,17,0,220,96,0,0,Bom
94,3087.50,0,2,19868.4600000,9,0,6,2,0,0,Bom
168,8758.34,20,1,2340.5300000,1,1,44,30,0,0,Bom
155,800.00,1,0,0.0000000,0,0,6,1,0,0,Bom
152,1666.67,1,0,0.0000000,0,0,0,1,0,0,Bom
112,8154.17,23,1,1506.9000000,2,1,102,77,3,4,Bom
10,1705.77,0,1,5567.6900000,23,0,0,1,0,0,Bom
153,800.00,2,0,0.0000000,0,0,1,3,0,0,Bom
166,5375.00,6,3,41224.2400000,8,0,19,5,0,0,Bom
98,1500.00,4,0,0.0000000,0,0,34,32,0,0,Bom
163,1658.33,2,1,4942.3900000,21,0,22,12,0,0,Bom
76,3616.00,2,2,25924.3400000,75,0,67,26,0,0,Bom
166,14499.99,9,3,53843.1400000,46,0,26,8,0,0,Bom
168,3300.00,2,0,0.0000000,0,0,2,1,0,0,Bom
85,2300.00,1,0,0.0000000,0,0,36,0,0,0,Bom
166,1115.00,1,0,0.0000000,0,0,1,0,0,0,Bom
47,1600.00,1,0,0.0000000,0,0,4,30,1,1,Bom
113,7791.66,5,2,0.0100000,1,0,20,5,0,0,Bom
97,4200.00,3,1,1000.7200000,1,0,19,2,0,0,Bom
132,800.00,2,0,0.0000000,0,0,21,57,0,0,Bom
46,1500.00,0,1,6772.2800000,4,0,18,26,0,0,Bom
85,4000.00,5,0,0.0000000,0,0,99,14,0,0,Bom
69,2660.00,2,0,0.0000000,0,0,66,6,0,0,Bom
164,7166.67,5,1,5881.0500000,6,0,18,4,0,0,Bom
77,1980.00,3,0,0.0000000,0,0,59,49,0,0,Bom
63,2916.67,5,0,0.0000000,0,0,2,3,0,0,Bom
63,2916.67,0,1,0.0000000,0,2,0,0,0,0,Bom
125,2500.00,1,0,0.0000000,0,0,10,2,0,0,Bom
23,9522.44,0,1,2069.5100000,38,0,17,5,0,0,Bom
171,1000.00,2,0,0.0000000,0,0,11,2,0,0,Bom
100,4379.97,1,2,22653.0100000,14,0,20,8,0,0,Bom
100,9977.00,9,1,1511.2600000,1,0,81,17,0,0,Bom
116,546.67,2,0,0.0000000,0,0,15,10,0,0,Bom
109,16200.00,3,1,14027.1900000,18,0,69,10,0,0,Bom
144,3277.38,1,0,0.0000000,0,0,4,1,0,0,Bom
101,4500.00,9,2,17341.0900000,36,0,201,45,0,0,Bom
166,13141.67,5,0,0.0000000,0,0,44,4,0,0,Bom
63,675.00,1,0,0.0000000,0,0,2,0,0,0,Bom
24,1484.20,0,1,8168.4100000,32,0,3,20,0,0,Bom
103,4335.00,8,1,5947.3100000,6,0,172,25,2,3,Bom
164,7632.67,16,3,49052.5500000,31,0,46,34,0,0,Bom
123,4525.00,1,0,0.0000000,0,0,6,0,0,0,Bom
166,800.00,2,0,0.0000000,0,0,0,2,0,0,Bom
170,2000.00,9,0,0.0000000,0,0,80,6,0,0,Bom
68,3788.33,2,0,0.0000000,0,0,35,13,0,0,Bom
168,2204.26,12,2,6047.9900000,3,0,95,6,0,0,Bom
132,800.00,7,0,0.0000000,0,0,68,63,0,0,Bom
132,800.00,1,0,0.0000000,0,0,6,0,0,0,Bom
132,350.00,1,0,0.0000000,0,0,12,60,0,0,Bom
93,0.01,9,0,0.0000000,0,0,80,15,0,0,Bom
143,22233.33,2,0,0.0000000,0,0,31,43,0,0,Bom
111,380.00,1,0,0.0000000,0,0,35,37,0,0,Bom
168,800.00,1,0,0.0000000,0,0,6,0,0,0,Bom
168,800.00,6,0,0.0000000,0,0,15,25,0,0,Bom
93,2731.67,0,1,5880.4500000,6,0,3,1,0,0,Bom
31,7758.33,3,1,10267.2900000,1,0,1,2,0,0,Bom
27,1850.00,0,1,11390.6400000,23,0,22,3,0,0,Bom
150,1500.00,7,0,0.0000000,0,0,45,26,0,0,Bom
171,1000.00,11,2,4859.4500000,12,0,33,12,1,2,Bom
26,2318.04,0,1,5212.1800000,11,0,8,5,0,0,Bom
60,20702.51,5,4,31082.6300000,13,0,9,10,0,0,Bom
112,2100.00,5,0,0.0000000,0,0,139,7,0,0,Bom
91,350.00,1,0,0.0000000,0,0,1,23,0,0,Bom
6,2110.00,0,1,7576.0500000,31,0,1,4,0,0,Bom
78,6875.00,2,0,0.0000000,0,0,32,5,0,0,Bom
142,1250.00,7,0,0.0000000,0,0,5,9,0,0,Bom
94,6087.50,6,2,8125.7000000,7,0,3,7,0,0,Bom
95,53357.50,9,8,105492.6500000,97,0,122,18,0,0,Bom
85,1800.00,4,1,5370.8600000,1,0,19,16,0,0,Bom
167,1050.00,5,0,0.0000000,0,0,72,6,0,0,Bom
108,480.00,1,0,0.0000000,0,0,2,8,0,0,Bom
61,900.00,1,0,0.0000000,0,0,3,1,0,0,Bom
4,1700.00,0,2,17572.1200000,60,0,5,1,0,0,Bom
79,1380.00,1,0,0.0000000,0,0,44,4,0,0,Bom
104,415.00,2,0,0.0000000,0,0,1,6,0,0,Bom
164,14333.34,13,1,9866.4600000,8,6,23,24,1,2,Bom
139,11133.33,0,3,20663.2100000,9,0,12,0,0,0,Bom
142,9811.31,30,2,13602.7500000,56,0,223,12,0,0,Bom
132,2633.33,1,0,0.0000000,0,0,4,1,0,0,Bom
145,800.00,3,0,0.0000000,0,0,37,42,1,0,Bom
115,6625.00,15,5,33507.2800000,13,0,21,5,0,0,Bom
156,800.00,2,0,0.0000000,0,0,1,1,0,0,Bom
171,1500.00,8,0,0.0000000,0,0,46,75,0,0,Bom
121,1171.58,8,0,0.0000000,0,0,19,9,0,0,Bom
124,2100.00,1,1,6517.3900000,31,1,49,4,0,0,Bom
